Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2042,5,24,0.702339,0.518819,0.365609,0.320437,0.250983,0.161629,0.23365,0.483582,0.790745,0.880733,0.914167,0.935678,0.918432,0.903157,0.875774,0.849292,0.85082,0.871983,0.866213,0.871296,0.836512,0.650055,0.440323,0.437253
2042,5,25,0.301635,0.416226,0.56254,0.810763,0.934905,0.962818,0.958842,0.985661,0.979674,0.98358,0.988537,0.99122,0.99137,0.976848,0.988075,0.976111,0.981816,0.967618,0.945247,0.886971,0.895794,0.67438,0.502266,0.30324
2042,5,26,0.15217,0.055693,0.056449,0.058937,0.025873,0.014831,0.02358,0.192873,0.287642,0.498898,0.676299,0.824895,0.884874,0.859017,0.86661,0.869327,0.667207,0.856058,0.891418,0.853984,0.994473,0.989977,0.968631,0.962592
2042,5,27,0.844599,0.745007,0.667925,0.74282,0.761862,0.655185,0.688766,0.799567,0.828179,0.902986,0.902447,0.829557,0.820235,0.70005,0.374199,0.252725,0.199451,0.126989,0.093496,0.082952,0.090612,0.139486,0.15217,0.211743
2042,5,28,0.255087,0.266496,0.233557,0.198275,0.189992,0.120982,0.100277,0.141195,0.200067,0.342479,0.374602,0.417501,0.420051,0.456922,0.559025,0.693485,0.820183,0.925944,0.959902,0.971182,0.966325,0.931214,0.787522,0.495887
2042,5,29,0.29268,0.134042,0.069493,0.053116,0.058283,0.069539,0.163186,0.39808,0.636563,0.801567,0.847405,0.876208,0.89585,0.915168,0.912912,0.900453,0.914591,0.913993,0.877742,0.856919,0.862472,0.558735,0.292586,0.142497
2042,5,30,0.119335,0.062233,0.057897,0.053663,0.038451,0.055234,0.124003,0.355919,0.719391,0.849727,0.920312,0.929245,0.975951,0.984315,0.988633,0.985938,0.993633,0.979973,0.96513,0.957029,0.985563,0.950245,0.974787,0.984447
2042,5,31,0.903416,0.95559,0.816124,0.834085,0.874551,0.884312,0.705762,0.63116,0.604421,0.721993,0.82199,0.703293,0.765681,0.822106,0.537574,0.623891,0.376936,0.254795,0.476722,0.511208,0.788736,0.794566,0.449336,0.36031
2042,6,1,0.442129,0.622908,0.699489,0.616383,0.592236,0.640551,0.718906,0.87358,0.815676,0.786046,0.723191,0.6414,0.660484,0.675864,0.611367,0.4528,0.353686,0.281194,0.285997,0.498219,0.509316,0.34929,0.2438,0.279273
2042,6,2,0.407868,0.537854,0.759443,0.797026,0.750824,0.579717,0.405249,0.33217,0.274249,0.320882,0.389341,0.392052,0.464052,0.448554,0.442545,0.493136,0.53047,0.56492,0.610019,0.670267,0.756493,0.717203,0.398394,0.210295
2042,6,3,0.138792,0.047607,0.021885,0.017178,0.022073,0,0.021792,0.068631,0.208711,0.305021,0.324392,0.436566,0.503766,0.533114,0.501588,0.471021,0.483659,0.529877,0.530679,0.519909,0.639419,0.34444,0.279734,0.135914
2042,6,4,0.101685,0.043079,0,0.032462,0.07406,0.169613,0.337598,0.600167,0.741768,0.871513,0.906257,0.89666,0.943044,0.949097,0.932391,0.915539,0.907733,0.931721,0.936364,0.944862,0.949592,0.927663,0.812872,0.838659
2042,6,5,0.811198,0.66669,0.602725,0.437285,0.445356,0.65051,0.722254,0.494164,0.422879,0.46828,0.42087,0.401722,0.623909,0.501221,0.481495,0.629884,0.779196,0.746346,0.868927,0.862372,0.881211,0.892823,0.924334,0.955254
2042,6,6,0.97611,0.962089,0.909161,0.904015,0.921474,0.957124,0.968639,0.959749,0.961931,0.972809,0.954209,0.940904,0.938328,0.973914,0.977047,0.969163,0.964876,0.930125,0.94889,0.866959,0.826366,0.887123,0.681986,0.602845
2042,6,7,0.690561,0.725215,0.69251,0.708486,0.721254,0.607697,0.503922,0.485567,0.470481,0.437394,0.385857,0.279802,0.131644,0.076685,0.049604,0.041501,0.054259,0.059709,0.081397,0.081143,0.039659,0.040525,0.019964,0.044542
2042,6,8,0.128978,0.17398,0.225561,0.267154,0.246411,0.17035,0.197425,0.284072,0.326219,0.541902,0.783967,0.843647,0.936321,0.98262,0.985676,0.985913,0.984651,0.983386,0.971238,0.933047,0.914509,0.769905,0.422182,0.245575
2042,6,9,0.091481,0.049346,0.039699,0.034539,0,0,0,0.084799,0.276862,0.344733,0.377392,0.411775,0.425052,0.458104,0.479574,0.430779,0.469365,0.455981,0.355216,0.266211,0.250432,0.193174,0,0.01839
2042,6,10,0.053375,0.079472,0.111051,0.098712,0.091728,0.080289,0.058395,0.048305,0.043564,0.026772,0.051443,0.083405,0.158247,0.249686,0.278775,0.284797,0.313603,0.292352,0.423744,0.502672,0.594564,0.688445,0.739203,0.929671
2042,6,11,0.977311,0.983049,0.973341,0.949306,0.913034,0.851132,0.682362,0.579687,0.564784,0.485739,0.529015,0.782843,0.953571,0.986799,0.990793,0.984237,0.965842,0.944232,0.947089,0.952194,0.948143,0.952707,0.92818,0.914452
2042,6,12,0.910223,0.80491,0.640688,0.398211,0.219437,0.069288,0.041148,0,0.024536,0.073406,0.090016,0.087058,0.07176,0.075846,0.09461,0.088623,0.057843,0.076269,0.129687,0.209865,0.204183,0.308981,0.293752,0.297755
2042,6,13,0.240176,0.239296,0.255471,0.253346,0.288989,0.286078,0.41997,0.386878,0.220603,0.169543,0.100832,0.086232,0.140925,0.190306,0.198832,0.256578,0.354572,0.428687,0.43797,0.388744,0.38395,0.329979,0.391657,0.165947
2042,6,14,0.102461,0.049021,0.045007,0.047595,0.047509,0.04362,0.076025,0.101563,0.170763,0.209547,0.336252,0.453741,0.693969,0.768429,0.825981,0.868885,0.924745,0.936569,0.933917,0.932248,0.916144,0.914191,0.865555,0.641785
2042,6,15,0.34091,0.190718,0.117393,0.101148,0.116238,0.117083,0.245224,0.409541,0.578014,0.772662,0.8885,0.921931,0.934896,0.929455,0.937842,0.946667,0.935618,0.944825,0.945187,0.943858,0.941325,0.881081,0.795902,0.681188
2042,6,16,0.520251,0.346546,0.187524,0.174775,0.191025,0.203982,0.430024,0.611765,0.793802,0.917374,0.956573,0.971082,0.978028,0.980591,0.982327,0.986845,0.985652,0.986566,0.991185,0.990764,0.989058,0.98191,0.960117,0.952946
2042,6,17,0.893092,0.715044,0.517505,0.364114,0.265789,0.174415,0.320945,0.593456,0.703168,0.76133,0.782835,0.81606,0.838493,0.875611,0.886806,0.908922,0.914215,0.89743,0.843724,0.851179,0.830621,0.615042,0.453518,0.342648
2042,6,18,0.211639,0.131523,0.126166,0.115545,0.075562,0.030403,0.101234,0.389199,0.552127,0.617181,0.685586,0.718194,0.818807,0.861572,0.904103,0.924663,0.923854,0.92763,0.938683,0.954641,0.952605,0.927725,0.889512,0.914487
2042,6,19,0.936076,0.951884,0.94274,0.952853,0.963351,0.924355,0.927089,0.952085,0.952511,0.950904,0.987069,0.99212,0.987317,0.950913,0.795286,0.520127,0.324652,0.241192,0.216871,0.163831,0.0775,0.019928,0.028767,0.058885
2042,6,20,0.070968,0.096447,0.116092,0.110853,0.109316,0.103833,0.129912,0.189978,0.143665,0.103536,0.080757,0.061131,0.06698,0.075513,0.05818,0.072604,0.094792,0.067356,0.075776,0.101909,0.09237,0.134383,0.121458,0.121566
2042,6,21,0.147567,0.136623,0.126674,0.107185,0.083506,0.056275,0.053783,0.05379,0.079861,0.175298,0.337999,0.435616,0.443537,0.404356,0.386978,0.311558,0.252278,0.207136,0.218632,0.197768,0.156625,0.106992,0.01557,0.016284
2042,6,22,0.014831,0,0.016175,0.034263,0.017768,0,0.038238,0.037156,0.048048,0.070147,0.105218,0.153514,0.162834,0.219628,0.393147,0.436407,0.474209,0.449933,0.338671,0.346337,0.376604,0.265619,0.019867,0.016648
2042,6,23,0,0,0,0,0,0,0.043993,0.160862,0.313944,0.430642,0.576334,0.672357,0.740916,0.779853,0.762045,0.742903,0.766348,0.83814,0.864653,0.895146,0.930669,0.874075,0.774469,0.813532
2042,6,24,0.662018,0.570358,0.484529,0.568971,0.625859,0.682558,0.692774,0.873293,0.946709,0.97245,0.982659,0.980685,0.979334,0.976871,0.975279,0.974575,0.978752,0.982338,0.983047,0.972585,0.967679,0.95488,0.930345,0.912198
2042,6,25,0.816227,0.799003,0.737997,0.633387,0.524749,0.417359,0.408953,0.66892,0.80021,0.886192,0.925778,0.951311,0.961284,0.959245,0.952013,0.944668,0.92217,0.920383,0.915018,0.906569,0.878025,0.658648,0.429051,0.208329
2042,6,26,0.077168,0.016648,0,0,0,0,0,0.180198,0.260921,0.294641,0.387246,0.493155,0.521815,0.457043,0.444151,0.428517,0.393981,0.347238,0.472724,0.387208,0.390943,0.314426,0.021645,0.030274
2042,6,27,0.026063,0.040014,0.059445,0.066251,0.054854,0.039268,0,0,0.017369,0.036003,0.078926,0.101016,0.22462,0.383195,0.529479,0.655055,0.692761,0.684749,0.740768,0.759315,0.80061,0.749408,0.526936,0.582178
2042,6,28,0.622906,0.182404,0.710523,0.848621,0.906962,0.790442,0.722054,0.610696,0.506988,0.453469,0.396443,0.479808,0.554125,0.559549,0.355867,0.560749,0.190675,0.082108,0.494648,0.597361,0.997603,0.992139,0.976353,0.96577
2042,6,29,0.991051,0.99387,0.991146,0.986327,0.967804,0.910458,0.774452,0.59245,0.385221,0.202954,0.051593,0.061996,0,0.017487,0.177167,0.048328,0.184467,0.685646,0.840454,0.425927,0.05777,0.015801,0.034219,0.076872
2042,6,30,0.262568,0.343026,0.333675,0.077167,0.63842,0.667572,0.078905,0.207228,0.33887,0.152185,0.15863,0.132721,0.230066,0.509504,0.675236,0.74263,0.781448,0.794236,0.744997,0.717594,0.648659,0.486562,0.637884,0.62084
2042,7,1,0.539338,0.615787,0.653536,0.580104,0.348847,0.169064,0.111139,0.136871,0.379178,0.563632,0.588895,0.661597,0.259409,0.300251,0.494256,0.769086,0.763325,0.535526,0.749839,0.540809,0.594382,0.611251,0.780766,0.783425
2042,7,2,0.986986,0.992563,0.996378,0.997555,0.997486,0.99567,0.992454,0.993555,0.991209,0.980312,0.982403,0.979182,0.968101,0.9524,0.930594,0.879285,0.825667,0.810484,0.789216,0.751677,0.752654,0.804261,0.742426,0.842481
2042,7,3,0.793086,0.880746,0.896412,0.879753,0.876999,0.864336,0.770592,0.835315,0.888072,0.916106,0.981896,0.989436,0.992398,0.989288,0.986291,0.986991,0.991854,0.996637,0.99921,0.99941,0.999588,0.998587,0.998893,0.998652
2042,7,4,0.999837,0.999671,0.999874,0.999679,0.998819,0.996921,0.99477,0.988351,0.991423,0.978337,0.972615,0.966705,0.978197,0.970604,0.962655,0.940142,0.856333,0.752225,0.684148,0.6712,0.648551,0.680182,0.651491,0.63088
2042,7,5,0.583508,0.667331,0.747022,0.734517,0.633869,0.510703,0.521697,0.644951,0.662049,0.629178,0.628396,0.692426,0.72141,0.821393,0.87247,0.872504,0.855288,0.834447,0.780474,0.745812,0.689751,0.585534,0.637049,0.600513
2042,7,6,0.236149,0.166439,0.126191,0.068102,0.045252,0.022182,0,0,0.036024,0.152594,0.241402,0.285385,0.423404,0.434782,0.550036,0.586786,0.60156,0.585841,0.611718,0.532496,0.502673,0.381745,0.3552,0.191132
2042,7,7,0.236776,0.267346,0.203113,0.193676,0.134845,0.118472,0.081405,0,0,0,0,0,0.039852,0.057459,0.039605,0,0,0.07757,0.075977,0.100916,0.100885,0.167303,0.146475,0.112517
2042,7,8,0.074578,0.161136,0.249058,0.318614,0.300093,0.265862,0.339774,0.405528,0.614868,0.795897,0.89326,0.908224,0.968004,0.988739,0.994352,0.987426,0.990008,0.991493,0.992154,0.991767,0.990728,0.983519,0.977409,0.965056
2042,7,9,0.979217,0.962035,0.938759,0.923855,0.906261,0.927881,0.903005,0.952455,0.977068,0.982042,0.985487,0.988592,0.991305,0.992719,0.993655,0.995261,0.996232,0.995335,0.994835,0.994685,0.994622,0.995583,0.992487,0.992741
2042,7,10,0.982151,0.972997,0.960374,0.884322,0.666885,0.569118,0.504562,0.577807,0.642338,0.804514,0.907837,0.927048,0.942388,0.953857,0.978292,0.988969,0.991955,0.991894,0.991643,0.997218,0.997228,0.995696,0.993819,0.97146
2042,7,11,0.975108,0.970068,0.933461,0.860387,0.861065,0.731972,0.729682,0.939422,0.987152,0.993612,0.997099,0.998438,0.999379,0.998189,0.99284,0.977921,0.902696,0.878922,0.912276,0.925178,0.979503,0.960623,0.824663,0.487596
2042,7,12,0.193694,0.126492,0.051867,0,0,0,0,0,0.02387,0.060723,0.105715,0.120779,0.116838,0.121123,0.122687,0.127083,0.143338,0.194138,0.176455,0.189619,0.254655,0.316409,0.194353,0.235946
2042,7,13,0.349767,0.328915,0.38085,0.395754,0.350349,0.29945,0.325803,0.441585,0.398268,0.389996,0.435516,0.529068,0.572194,0.68861,0.754024,0.806419,0.790955,0.852932,0.863247,0.890688,0.874374,0.85166,0.866752,0.858813
2042,7,14,0.878566,0.751745,0.743836,0.757149,0.747635,0.760652,0.752365,0.838952,0.87362,0.880195,0.830835,0.546683,0.780844,0.545647,0.536089,0.537791,0.337192,0.231903,0.25051,0.152429,0.084205,0.066805,0.092246,0.218334
2042,7,15,0.451913,0.690029,0.753007,0.825482,0.765597,0.624691,0.39591,0.438243,0.614569,0.629257,0.680158,0.608481,0.579843,0.697812,0.655544,0.509711,0.319592,0.133346,0.071255,0.081027,0.102898,0.115353,0.244614,0.141283
2042,7,16,0.212191,0.157577,0.222532,0.168281,0.209997,0.081853,0.08846,0.198133,0.041881,0.014868,0.046372,0.056389,0.056924,0.161287,0.146112,0.193186,0.192055,0.107934,0.098914,0.07013,0.057559,0.022857,0.036577,0.07914
2042,7,17,0.226222,0.345407,0.336851,0.352045,0.224379,0.170127,0.168664,0.191781,0.154036,0.193806,0.251436,0.37896,0.438067,0.611999,0.649358,0.642562,0.589663,0.520845,0.534314,0.548958,0.61405,0.610046,0.882189,0.989252
2042,7,18,0.957243,0.428173,0.984895,0.065351,0.187436,0.25206,0.156465,0.302816,0.307534,0.265848,0.290724,0.521798,0.346514,0.293459,0.305049,0.608835,0.664071,0.692767,0.650663,0.764786,0.729161,0.477202,0.126697,0.040067
2042,7,19,0.064323,0.230434,0.481339,0.606712,0.62705,0.387976,0.145024,0.05891,0.026626,0.03894,0.11002,0.253336,0.33164,0.329687,0.211696,0.128192,0.076732,0.077991,0.021885,0,0,0,0.045684,0.063978
2042,7,20,0.087015,0.103729,0.112081,0.105434,0.074934,0.046572,0.022414,0,0,0,0,0,0.023494,0.033544,0.071672,0.15038,0.245218,0.348338,0.386082,0.407233,0.338826,0.282647,0.325819,0.507368
2042,7,21,0.203608,0.207811,0.227773,0.25515,0.231765,0.136284,0.166004,0.188174,0.334363,0.617382,0.755224,0.79642,0.855725,0.896413,0.830706,0.828716,0.808818,0.8305,0.870788,0.92848,0.929348,0.917536,0.926227,0.810881
2042,7,22,0.743537,0.737384,0.673772,0.631626,0.587848,0.520397,0.501729,0.679698,0.700301,0.765063,0.766676,0.850957,0.837058,0.873501,0.889779,0.92471,0.889863,0.947687,0.921962,0.944761,0.927732,0.920022,0.942854,0.931983
2042,7,23,0.947018,0.95445,0.920628,0.8265,0.848255,0.950369,0.946104,0.970632,0.982743,0.98585,0.991257,0.997615,0.999512,0.999632,0.999087,0.998027,0.99908,0.996252,0.981014,0.937783,0.77653,0.621671,0.594557,0.44885
2042,7,24,0.502577,0.510771,0.739731,0.821573,0.86997,0.827881,0.667108,0.84984,0.893961,0.850528,0.786984,0.789713,0.818513,0.779432,0.660127,0.602718,0.738402,0.817137,0.910877,0.925145,0.917818,0.940904,0.954842,0.800965
2042,7,25,0.648111,0.36582,0.217911,0.16129,0.105322,0.088079,0.09643,0.116547,0.243351,0.453243,0.568485,0.639843,0.68711,0.646512,0.610956,0.539729,0.44045,0.24331,0.220618,0.09172,0.02502,0.018266,0,0.016006
2042,7,26,0.015724,0,0.018974,0.036613,0.042703,0.056761,0,0,0,0.015117,0.037241,0.090413,0.153168,0.393955,0.668986,0.860125,0.932025,0.961302,0.957567,0.950591,0.956023,0.951093,0.859176,0.91887
2042,7,27,0.925966,0.900761,0.904508,0.859057,0.800916,0.803622,0.543046,0.575275,0.812004,0.801536,0.65004,0.591896,0.647904,0.349656,0.64515,0.739109,0.620679,0.506615,0.479161,0.24058,0.103468,0.034281,0.142339,0.360228
2042,7,28,0.498454,0.577986,0.595845,0.458767,0.37039,0.247324,0.160893,0.202169,0.182815,0.204719,0.244969,0.24771,0.205349,0.144175,0.1037,0.090927,0.097193,0.086512,0.081594,0.074818,0.049194,0.024641,0.055738,0.024031
2042,7,29,0.018446,0.019433,0.044859,0.019601,0,0.938146,0.342143,0.513538,0.602698,0.969026,0.688669,0.421281,0.414841,0.221336,0.102976,0.036462,0.018514,0,0.049666,0.091095,0.223389,0.218507,0.136019,0.215188
2042,7,30,0.266965,0.404139,0.873037,0.256981,0.577825,0.592039,0.215769,0.132441,0.208713,0.29344,0.449541,0.6284,0.735938,0.873738,0.905987,0.921948,0.909546,0.900209,0.877681,0.764197,0.693487,0.732847,0.731421,0.613803
2042,7,31,0.410056,0.242841,0.155948,0.115992,0.046934,0,0,0.019243,0.02581,0,0,0,0,0,0.01801,0.020649,0.026609,0.018594,0,0.033461,0.059911,0.105134,0.134966,0.257505
2042,8,1,0.328752,0.420581,0.447278,0.472735,0.448334,0.343812,0.145877,0.238182,0.189995,0.186377,0.188141,0.200856,0.216431,0.245695,0.263392,0.228076,0.198306,0.191372,0.206775,0.17367,0.169018,0.123528,0,0
2042,8,2,0,0,0.040517,0.053324,0.056329,0.059953,0.049631,0.053064,0.040322,0,0.017221,0.034531,0.026063,0.070613,0.115833,0.121991,0.145115,0.214947,0.270302,0.276395,0.436609,0.369045,0.073615,0.044858
2042,8,3,0.033797,0.040427,0.066536,0.083739,0.087541,0.06848,0.066057,0.072324,0.084811,0.064818,0.049962,0.048035,0.074485,0.0792,0.114527,0.119335,0.12407,0.158518,0.214653,0.325051,0.414224,0.569363,0.417774,0.38977
2042,8,4,0.467827,0.452254,0.336205,0.2719,0.183408,0.095316,0.026577,0.02989,0.023508,0.024807,0.086081,0.147199,0.255501,0.346248,0.369162,0.468414,0.627432,0.85049,0.930572,0.929075,0.921166,0.809585,0.553306,0.454306
2042,8,5,0.312585,0.249089,0.25838,0.260355,0.207505,0.153819,0.086495,0.122451,0.05108,0.017391,0,0,0,0,0,0,0,0,0.01671,0,0,0,0,0
2042,8,6,0,0.015503,0.020942,0.044999,0.046459,0.040911,0,0,0,0,0.020273,0.070542,0.121241,0.206349,0.368396,0.430437,0.326842,0.276112,0.220456,0.218445,0.210658,0.150495,0.02051,0
2042,8,7,0,0,0,0,0,0,0,0,0.030109,0.121385,0.199518,0.371367,0.581394,0.767451,0.876807,0.902285,0.904053,0.820725,0.838224,0.741487,0.598508,0.477232,0.351269,0.451508
2042,8,8,0.535634,0.532637,0.4901,0.434368,0.433694,0.414055,0.2963,0.592466,0.666495,0.531175,0.411014,0.339802,0.487055,0.696757,0.556257,0.425499,0.342721,0.413216,0.633698,0.825777,0.831355,0.708003,0.37261,0.240329
2042,8,9,0.140163,0.113141,0.169872,0.263882,0.210202,0.100643,0.025921,0.111335,0.105624,0.109823,0.165388,0.328835,0.759738,0.962581,0.962513,0.952164,0.938805,0.786161,0.362829,0.395516,0.62434,0.513345,0.125555,0.069204
2042,8,10,0.019173,0.119759,0.174764,0.163722,0.126501,0.064036,0.038584,0.066409,0.047037,0.153077,0.371,0.538394,0.708568,0.774015,0.834032,0.882042,0.906431,0.9133,0.946309,0.941556,0.952996,0.964045,0.927376,0.937529
2042,8,11,0.913791,0.882703,0.82512,0.687183,0.437925,0.229617,0.179035,0.473433,0.640427,0.719042,0.689036,0.718162,0.76128,0.815959,0.899225,0.935182,0.969943,0.975974,0.969532,0.97293,0.962661,0.984356,0.980332,0.971183
2042,8,12,0.898923,0.960497,0.788507,0.952381,0.930329,0.941727,0.952416,0.975923,0.989674,0.993715,0.996112,0.998665,0.977514,0.977173,0.815896,0.529262,0.512159,0.615463,0.675026,0.665793,0.764041,0.876966,0.969652,0.982817
2042,8,13,0.951954,0.915471,0.505564,0.58095,0.794905,0.370124,0.576022,0.16434,0.229789,0.564597,0.534929,0.295445,0.3154,0.311809,0.221275,0.155317,0.167576,0.235642,0.337901,0.55997,0.795541,0.86359,0.878318,0.900112
2042,8,14,0.883677,0.842696,0.8009,0.736371,0.664525,0.59099,0.390039,0.57181,0.52834,0.509605,0.386806,0.217991,0.161065,0.118017,0.064965,0.038776,0.030292,0.015398,0.016465,0.015714,0,0.024061,0.130352,0.209057
2042,8,15,0.289055,0.296373,0.26129,0.297574,0.295465,0.195005,0.066029,0.067372,0.033441,0.02348,0.022101,0,0,0,0,0,0,0,0,0.019613,0.018401,0.017703,0.022634,0.054949
2042,8,16,0.109634,0.120812,0.122667,0.13308,0.095838,0.053346,0.019673,0,0,0,0,0.023783,0.029999,0.04143,0.076299,0.096075,0.111941,0.129467,0.162975,0.243346,0.324863,0.429652,0.306898,0.292907
2042,8,17,0.455749,0.52347,0.549723,0.650509,0.528271,0.423933,0.249499,0.525281,0.710322,0.83174,0.813048,0.831201,0.843791,0.839062,0.639248,0.985687,0.989025,0.976693,0.916402,0.900606,0.823387,0.67904,0.594045,0.812794
2042,8,18,0.747034,0.834152,0.950029,0.981302,0.981248,0.917656,0.764188,0.729923,0.702532,0.585108,0.682642,0.815733,0.730835,0.648308,0.429417,0.589632,0.749017,0.73421,0.678327,0.733462,0.75455,0.582852,0.496383,0.428446
2042,8,19,0.179992,0.111527,0.056984,0.025096,0.042747,0.041046,0,0.131476,0.335646,0.443423,0.513174,0.481874,0.572209,0.513341,0.472256,0.404986,0.280595,0.201061,0.11729,0.040543,0.029101,0,0,0
2042,8,20,0.045928,0.046308,0.039288,0.046206,0.039615,0.024837,0,0.01557,0,0,0.01922,0.068502,0.064958,0.086226,0.082767,0.115947,0.124261,0.140389,0.197499,0.229466,0.254229,0.158743,0.192165,0.299138
2042,8,21,0.296761,0.229691,0.19851,0.202694,0.191109,0.18895,0.060026,0.021979,0.03766,0.05252,0.080444,0.088552,0.110177,0.145077,0.180825,0.176185,0.160325,0.155105,0.215501,0.283686,0.370051,0.286977,0.35853,0.497829
2042,8,22,0.675279,0.76866,0.873572,0.927662,0.94689,0.971359,0.970907,0.984101,0.996037,0.998273,0.999074,0.998711,0.997063,0.953483,0.892513,0.856332,0.836774,0.725502,0.546701,0.654443,0.709561,0.913051,0.960549,0.979874
2042,8,23,0.990353,0.991527,0.991553,0.992247,0.985135,0.938455,0.823745,0.581379,0.463556,0.320492,0.076925,0.045958,0.057031,0.087968,0.157182,0.496137,0.813032,0.882532,0.792736,0.459515,0.207859,0.707011,0.831043,0.781449
2042,8,24,0.843447,0.88669,0.970579,0.938662,0.868864,0.58765,0.479368,0.515823,0.417339,0.422671,0.470694,0.606982,0.901618,0.979179,0.989773,0.995239,0.998421,0.998426,0.997172,0.997426,0.997679,0.99901,0.999503,0.999715
2042,8,25,0.999789,0.999859,0.999637,0.999727,0.999676,0.999577,0.97966,0.99678,0.995852,0.986204,0.998278,0.998982,0.999751,0.999793,0.999726,0.999689,0.997491,0.97311,0.998975,0.998142,0.993276,0.984536,0.95069,0.787494
2042,8,26,0.71939,0.814101,0.862879,0.900252,0.964491,0.951785,0.910137,0.920451,0.880099,0.849007,0.856178,0.864739,0.867189,0.809854,0.978992,0.976261,0.974157,0.980057,0.941461,0.78483,0.630208,0.503709,0.490166,0.381367
2042,8,27,0.222125,0.201414,0.124597,0.085774,0.066034,0.050747,0,0,0,0,0,0,0.020347,0.022551,0,0,0,0,0,0,0.02075,0.017042,0,0
2042,8,28,0.059438,0.125746,0.192668,0.226331,0.218267,0.174564,0.065805,0.128743,0.129288,0.109754,0.110414,0.138016,0.15976,0.23089,0.3555,0.441734,0.499769,0.479303,0.399448,0.310119,0.225856,0.284708,0.294658,0.31048
2042,8,29,0.441637,0.432797,0.501312,0.431264,0.331022,0.160147,0.021474,0.03336,0.042821,0.069883,0.058276,0.065764,0.045575,0.070034,0.057975,0.098502,0.018881,0.042667,0.220537,0.804129,0.957618,0.993986,0.99646,0.998652
